block_id,segment_id,division,date,window_start,window_end,available_duration_hrs,block_feasible,blocking_train_ids,generation_basis
BLK-000036,SEG-036,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000037,SEG-037,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000038,SEG-038,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000039,SEG-039,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000040,SEG-040,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000041,SEG-041,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000042,SEG-042,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000043,SEG-043,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000044,SEG-044,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000045,SEG-045,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000046,SEG-046,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000047,SEG-047,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000048,SEG-048,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000049,SEG-049,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000050,SEG-050,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000051,SEG-001,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000052,SEG-002,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000053,SEG-003,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000054,SEG-004,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000055,SEG-005,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000056,SEG-006,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000057,SEG-007,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000058,SEG-008,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000059,SEG-009,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000060,SEG-010,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000061,SEG-011,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000062,SEG-012,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000063,SEG-013,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000064,SEG-014,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000065,SEG-015,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000066,SEG-016,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000067,SEG-017,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000068,SEG-018,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000069,SEG-019,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000070,SEG-020,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000071,SEG-021,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000072,SEG-022,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000073,SEG-023,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000074,SEG-024,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000075,SEG-025,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000076,SEG-026,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000077,SEG-027,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000078,SEG-028,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000079,SEG-029,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000080,SEG-030,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000081,SEG-031,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000082,SEG-032,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000083,SEG-033,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000084,SEG-034,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000085,SEG-035,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000086,SEG-036,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000087,SEG-037,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000088,SEG-038,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000089,SEG-039,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000090,SEG-040,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000091,SEG-041,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000092,SEG-042,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000093,SEG-043,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000094,SEG-044,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000095,SEG-045,Agra,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000096,SEG-046,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000097,SEG-047,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000098,SEG-048,Delhi,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000099,SEG-049,Agra,2024-01-02,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000100,SEG-050,Delhi,2024-01-02,00:00,03:43,3.72,1,,Actual timetable interval gap
BLK-000101,SEG-001,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000102,SEG-002,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000103,SEG-003,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000104,SEG-004,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000105,SEG-005,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000106,SEG-006,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000107,SEG-007,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000108,SEG-008,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000109,SEG-009,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000110,SEG-010,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000111,SEG-011,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000112,SEG-012,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000113,SEG-013,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000114,SEG-014,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000115,SEG-015,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000116,SEG-016,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000117,SEG-017,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000118,SEG-018,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000119,SEG-019,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000120,SEG-020,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000121,SEG-021,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000122,SEG-022,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000123,SEG-023,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000124,SEG-024,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000125,SEG-025,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000126,SEG-026,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000127,SEG-027,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000128,SEG-028,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000129,SEG-029,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000130,SEG-030,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000131,SEG-031,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000132,SEG-032,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000133,SEG-033,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000134,SEG-034,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000135,SEG-035,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000136,SEG-036,Delhi,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000137,SEG-037,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000138,SEG-038,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000139,SEG-039,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000140,SEG-040,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000141,SEG-041,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000142,SEG-042,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000143,SEG-043,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000144,SEG-044,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000145,SEG-045,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000146,SEG-046,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000147,SEG-047,Agra,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000148,SEG-048,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000149,SEG-049,Agra,2024-01-03,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000150,SEG-050,Delhi,2024-01-03,21:03,00:00,2.95,1,,Actual timetable interval gap
BLK-000151,SEG-001,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000152,SEG-002,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000153,SEG-003,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000154,SEG-004,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000155,SEG-005,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000156,SEG-006,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000157,SEG-007,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000158,SEG-008,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000159,SEG-009,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000160,SEG-010,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000161,SEG-011,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000162,SEG-012,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000163,SEG-013,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000164,SEG-014,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000165,SEG-015,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000166,SEG-016,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000167,SEG-017,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000168,SEG-018,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000169,SEG-019,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000170,SEG-020,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000171,SEG-021,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000172,SEG-022,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000173,SEG-023,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000174,SEG-024,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000175,SEG-025,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000176,SEG-026,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000177,SEG-027,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000178,SEG-028,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000179,SEG-029,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000180,SEG-030,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000181,SEG-031,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000182,SEG-032,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000183,SEG-033,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000184,SEG-034,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000185,SEG-035,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000186,SEG-036,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000187,SEG-037,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000188,SEG-038,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000189,SEG-039,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000190,SEG-040,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000191,SEG-041,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000192,SEG-042,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000193,SEG-043,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000194,SEG-044,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000195,SEG-045,Agra,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000196,SEG-046,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000197,SEG-047,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000198,SEG-048,Delhi,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000199,SEG-049,Agra,2024-01-04,00:00,04:18,4.3,1,,Actual timetable interval gap
BLK-000200,SEG-050,Delhi,2024-01-04,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000201,SEG-001,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000202,SEG-002,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000203,SEG-003,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000204,SEG-004,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000205,SEG-005,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000206,SEG-006,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000207,SEG-007,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000208,SEG-008,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000209,SEG-009,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000210,SEG-010,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000211,SEG-011,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000212,SEG-012,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000213,SEG-013,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000214,SEG-014,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000215,SEG-015,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000216,SEG-016,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000217,SEG-017,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000218,SEG-018,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000219,SEG-019,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000220,SEG-020,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000221,SEG-021,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000222,SEG-022,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000223,SEG-023,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000224,SEG-024,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000225,SEG-025,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000226,SEG-026,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000227,SEG-027,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000228,SEG-028,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000229,SEG-029,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000230,SEG-030,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000231,SEG-031,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000232,SEG-032,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000233,SEG-033,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000234,SEG-034,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000235,SEG-035,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000236,SEG-036,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000237,SEG-037,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000238,SEG-038,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000239,SEG-039,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000240,SEG-040,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000241,SEG-041,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000242,SEG-042,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000243,SEG-043,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000244,SEG-044,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000245,SEG-045,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000246,SEG-046,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000247,SEG-047,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000248,SEG-048,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000249,SEG-049,Agra,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000250,SEG-050,Delhi,2024-01-05,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000251,SEG-001,Agra,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000252,SEG-002,Delhi,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000253,SEG-003,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000254,SEG-004,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000255,SEG-005,Agra,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000256,SEG-006,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000257,SEG-007,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000258,SEG-008,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000259,SEG-009,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000260,SEG-010,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000261,SEG-011,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000262,SEG-012,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000263,SEG-013,Agra,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000264,SEG-014,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000265,SEG-015,Agra,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000266,SEG-016,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000267,SEG-017,Agra,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000268,SEG-018,Delhi,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000269,SEG-019,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000270,SEG-020,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000271,SEG-021,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000272,SEG-022,Delhi,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000273,SEG-023,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000274,SEG-024,Delhi,2024-01-06,00:00,04:37,4.62,1,,Actual timetable interval gap
BLK-000275,SEG-025,Agra,2024-01-06,20:56,00:00,3.07,1,,Actual timetable interval gap
