task_id,segment_id,division,department,type,planned_duration_hrs,actual_duration_hrs,planned_date,completion_date,overdue_flag,overdue_days,overrun_flag
TASK-00018,SEG-002,Delhi,Engineering,Track Inspection,5.06,6.73,2025-02-19,2025-02-19,0,0,1
TASK-00019,SEG-002,Delhi,Engineering,Rail Grinding,4.37,4.17,2025-04-21,2025-04-21,0,0,0
TASK-00020,SEG-002,Delhi,Engineering,Rail Grinding,2.05,2.03,2025-11-05,2025-11-05,0,0,0
TASK-00021,SEG-002,Delhi,Engineering,Tamping,3.52,2.97,2025-11-19,2025-12-05,1,16,0
TASK-00022,SEG-002,Delhi,Engineering,Drainage Cleaning,4.19,3.6,2025-04-11,2025-04-11,0,0,0
TASK-00023,SEG-003,Agra,S&T,Signal Inspection,2.46,2.63,2024-09-06,2024-09-06,0,0,0
TASK-00024,SEG-003,Agra,S&T,Relay Maintenance,2.92,2.95,2025-03-11,2025-03-11,0,0,0
TASK-00025,SEG-003,Agra,S&T,Cable Inspection,4.47,4.47,2024-05-04,2024-05-04,0,0,0
TASK-00026,SEG-003,Agra,S&T,Point Machine Service,5.48,5.21,2025-03-29,2025-03-29,0,0,0
TASK-00027,SEG-003,Agra,S&T,Cable Inspection,6.33,5.56,2024-06-11,2024-06-11,0,0,0
TASK-00028,SEG-003,Agra,S&T,Relay Maintenance,4.65,4.33,2025-06-17,2025-06-17,0,0,0
TASK-00029,SEG-003,Agra,S&T,Point Machine Service,3.68,3.03,2024-10-05,2024-10-05,0,0,0
TASK-00030,SEG-003,Agra,S&T,Point Machine Service,6.09,8.43,2024-06-05,2024-06-05,0,0,1
TASK-00031,SEG-003,Agra,S&T,Signal Inspection,2.84,3.04,2024-03-04,2024-03-04,0,0,0
TASK-00032,SEG-003,Agra,S&T,Point Machine Service,3.97,5.39,2025-08-12,2025-08-12,0,0,1
TASK-00033,SEG-003,Agra,S&T,Relay Maintenance,6.36,6.24,2025-07-05,2025-07-05,0,0,0
TASK-00034,SEG-003,Agra,S&T,Point Machine Service,4.33,5.85,2024-10-06,2024-10-06,0,0,1
TASK-00035,SEG-003,Agra,S&T,Point Machine Service,6.96,7.62,2024-06-18,2024-06-18,0,0,0
TASK-00036,SEG-004,Delhi,S&T,Relay Maintenance,5.81,8.09,2025-07-31,2025-07-31,0,0,1
TASK-00037,SEG-004,Delhi,S&T,Point Machine Service,3.19,2.99,2024-02-21,2024-02-21,0,0,0
TASK-00038,SEG-004,Delhi,S&T,Signal Inspection,6.39,5.6,2024-10-11,2024-10-11,0,0,0
TASK-00039,SEG-004,Delhi,S&T,Signal Inspection,1.84,1.6,2025-07-06,2025-07-27,1,21,0
TASK-00040,SEG-004,Delhi,S&T,Relay Maintenance,7.67,9.27,2024-02-01,2024-02-01,0,0,1
TASK-00041,SEG-004,Delhi,S&T,Cable Inspection,5.85,5.06,2025-04-29,2025-04-29,0,0,0
TASK-00042,SEG-004,Delhi,S&T,Relay Maintenance,5.44,5.52,2024-06-20,2024-06-20,0,0,0
TASK-00043,SEG-004,Delhi,S&T,Point Machine Service,2.2,2.95,2024-11-14,2024-11-14,0,0,1
TASK-00044,SEG-004,Delhi,S&T,Relay Maintenance,7.62,11.17,2025-02-10,2025-02-10,0,0,1
TASK-00045,SEG-004,Delhi,S&T,Signal Inspection,6.03,6.06,2024-04-14,2024-04-14,0,0,0
TASK-00046,SEG-004,Delhi,S&T,Signal Inspection,4.96,4.07,2024-12-21,2024-12-21,0,0,0
TASK-00047,SEG-004,Delhi,S&T,Point Machine Service,6.85,11.18,2025-03-06,2025-03-06,0,0,1
TASK-00048,SEG-004,Delhi,S&T,Point Machine Service,4.33,4.72,2024-06-05,2024-06-05,0,0,0
TASK-00049,SEG-004,Delhi,S&T,Signal Inspection,4.33,3.81,2025-04-21,2025-04-21,0,0,0
TASK-00050,SEG-005,Agra,Electrical,OHE Inspection,3.09,3.04,2025-04-06,2025-04-06,0,0,0
TASK-00051,SEG-005,Agra,Electrical,Isolator Service,7.03,9.11,2025-05-21,2025-05-21,0,0,1
TASK-00052,SEG-005,Agra,Electrical,OHE Inspection,7.22,6.37,2024-10-13,2024-10-20,1,7,0
TASK-00053,SEG-005,Agra,Electrical,Mast Inspection,6.18,6.35,2024-09-04,2024-09-04,0,0,0
TASK-00054,SEG-005,Agra,Electrical,Isolator Service,6.65,8.64,2025-04-03,2025-04-03,0,0,1
TASK-00055,SEG-005,Agra,Electrical,Isolator Service,5.28,5.06,2025-11-10,2025-11-10,0,0,0
TASK-00056,SEG-005,Agra,Electrical,Contact Wire Maintenance,6.07,5.31,2024-12-26,2024-12-26,0,0,0
TASK-00057,SEG-005,Agra,Electrical,Contact Wire Maintenance,2.28,2.35,2024-11-19,2024-11-19,0,0,0
TASK-00058,SEG-005,Agra,Electrical,OHE Inspection,3.3,3.39,2025-05-10,2025-05-10,0,0,0
TASK-00059,SEG-005,Agra,Electrical,Contact Wire Maintenance,3.43,3.06,2024-07-17,2024-07-17,0,0,0
TASK-00060,SEG-005,Agra,Electrical,Mast Inspection,1.8,2.4,2024-10-07,2024-10-07,0,0,1
TASK-00061,SEG-005,Agra,Electrical,Contact Wire Maintenance,7.17,6.75,2024-04-15,2024-04-15,0,0,0
TASK-00062,SEG-006,Delhi,Electrical,OHE Inspection,7.62,7.98,2024-09-15,2024-09-15,0,0,0
TASK-00063,SEG-006,Delhi,Electrical,Isolator Service,5.59,7.08,2025-08-13,2025-08-13,0,0,1
TASK-00064,SEG-006,Delhi,Electrical,Contact Wire Maintenance,7.96,12.29,2024-03-28,2024-03-28,0,0,1
TASK-00065,SEG-006,Delhi,Electrical,Mast Inspection,3.97,3.53,2025-06-19,2025-06-19,0,0,0
TASK-00066,SEG-006,Delhi,Electrical,Contact Wire Maintenance,5.2,8.49,2024-11-08,2024-11-08,0,0,1
TASK-00067,SEG-006,Delhi,Electrical,OHE Inspection,2.87,2.43,2025-10-02,2025-10-02,0,0,0
TASK-00068,SEG-006,Delhi,Electrical,Contact Wire Maintenance,1.52,1.49,2024-06-09,2024-06-09,0,0,0
TASK-00069,SEG-006,Delhi,Electrical,Isolator Service,6.1,5.71,2024-10-22,2024-10-22,0,0,0
TASK-00070,SEG-006,Delhi,Electrical,Contact Wire Maintenance,5.33,4.58,2025-10-02,2025-10-02,0,0,0
TASK-00071,SEG-006,Delhi,Electrical,Isolator Service,2.47,2.08,2025-10-25,2025-11-20,1,26,0
TASK-00072,SEG-007,Agra,Engineering,Drainage Cleaning,7.49,7.05,2025-08-05,2025-08-05,0,0,0
TASK-00073,SEG-007,Agra,Engineering,Track Inspection,4.75,3.91,2024-10-05,2024-10-19,1,14,0
TASK-00074,SEG-007,Agra,Engineering,Tamping,3.13,5.11,2025-09-10,2025-09-10,0,0,1
TASK-00075,SEG-007,Agra,Engineering,Drainage Cleaning,6.84,7.04,2025-11-19,2025-12-06,1,17,0
TASK-00076,SEG-007,Agra,Engineering,Tamping,2.68,2.65,2024-10-11,2024-10-11,0,0,0
TASK-00077,SEG-007,Agra,Engineering,Track Inspection,3.76,3.76,2025-04-26,2025-04-26,0,0,0
TASK-00078,SEG-007,Agra,Engineering,Tamping,6.01,6.51,2025-02-25,2025-02-25,0,0,0
TASK-00079,SEG-007,Agra,Engineering,Tamping,2.07,1.73,2025-04-10,2025-04-10,0,0,0
TASK-00080,SEG-007,Agra,Engineering,Drainage Cleaning,7.15,5.84,2025-11-04,2025-11-04,0,0,0
TASK-00081,SEG-007,Agra,Engineering,Drainage Cleaning,4.37,5.77,2025-10-02,2025-10-12,1,10,1
TASK-00082,SEG-007,Agra,Engineering,Rail Grinding,2.29,2.25,2025-05-11,2025-05-11,0,0,0
TASK-00083,SEG-007,Agra,Engineering,Tamping,5.08,4.21,2024-11-14,2024-11-14,0,0,0
TASK-00084,SEG-007,Agra,Engineering,Track Inspection,7.66,6.48,2025-04-17,2025-04-17,0,0,0
TASK-00085,SEG-007,Agra,Engineering,Drainage Cleaning,6.09,5.75,2025-06-05,2025-06-05,0,0,0
TASK-00086,SEG-008,Delhi,Engineering,Tamping,3.99,3.8,2024-05-28,2024-05-28,0,0,0
TASK-00087,SEG-008,Delhi,Engineering,Track Inspection,6.52,5.88,2024-10-09,2024-10-09,0,0,0
TASK-00088,SEG-008,Delhi,Engineering,Drainage Cleaning,3.34,3.26,2024-01-03,2024-01-03,0,0,0
TASK-00089,SEG-008,Delhi,Engineering,Drainage Cleaning,4.4,3.96,2024-06-01,2024-06-01,0,0,0
TASK-00090,SEG-008,Delhi,Engineering,Drainage Cleaning,7.56,8.27,2025-04-11,2025-04-11,0,0,0
TASK-00091,SEG-008,Delhi,Engineering,Drainage Cleaning,7.06,6.32,2024-08-27,2024-08-27,0,0,0
TASK-00092,SEG-008,Delhi,Engineering,Tamping,7.92,7.89,2025-01-30,2025-01-30,0,0,0
TASK-00093,SEG-008,Delhi,Engineering,Drainage Cleaning,4.76,5.05,2024-05-09,2024-05-09,0,0,0
TASK-00094,SEG-008,Delhi,Engineering,Rail Grinding,4.92,5.0,2024-04-12,2024-04-12,0,0,0
TASK-00095,SEG-008,Delhi,Engineering,Tamping,4.55,4.1,2024-03-17,2024-03-17,0,0,0
TASK-00096,SEG-008,Delhi,Engineering,Drainage Cleaning,7.04,6.43,2024-12-02,2024-12-02,0,0,0
TASK-00097,SEG-008,Delhi,Engineering,Rail Grinding,1.73,2.57,2025-07-08,2025-07-08,0,0,1
TASK-00098,SEG-008,Delhi,Engineering,Drainage Cleaning,4.32,6.42,2024-04-02,2024-04-02,0,0,1
TASK-00099,SEG-008,Delhi,Engineering,Track Inspection,6.01,4.89,2024-06-19,2024-06-19,0,0,0
TASK-00100,SEG-009,Agra,S&T,Relay Maintenance,4.3,3.97,2025-01-18,2025-01-18,0,0,0
TASK-00101,SEG-009,Agra,S&T,Point Machine Service,2.64,2.41,2024-06-23,2024-06-23,0,0,0
TASK-00102,SEG-009,Agra,S&T,Signal Inspection,2.43,2.13,2025-08-20,2025-08-20,0,0,0
TASK-00103,SEG-009,Agra,S&T,Cable Inspection,7.36,6.24,2025-04-21,2025-04-21,0,0,0
TASK-00104,SEG-009,Agra,S&T,Cable Inspection,3.44,3.46,2025-08-24,2025-08-24,0,0,0
TASK-00105,SEG-009,Agra,S&T,Cable Inspection,8.0,6.66,2024-07-22,2024-07-22,0,0,0
TASK-00106,SEG-009,Agra,S&T,Point Machine Service,3.42,2.76,2025-08-11,2025-08-11,0,0,0
TASK-00107,SEG-009,Agra,S&T,Point Machine Service,1.55,1.6,2024-10-08,2024-10-08,0,0,0
TASK-00108,SEG-009,Agra,S&T,Relay Maintenance,6.54,6.81,2024-10-20,2024-10-20,0,0,0
TASK-00109,SEG-009,Agra,S&T,Relay Maintenance,3.13,3.22,2025-09-27,2025-09-27,0,0,0
TASK-00110,SEG-009,Agra,S&T,Signal Inspection,2.13,1.73,2025-10-05,2025-10-05,0,0,0
TASK-00111,SEG-009,Agra,S&T,Point Machine Service,3.87,6.23,2025-08-16,2025-08-16,0,0,1
TASK-00112,SEG-010,Delhi,S&T,Cable Inspection,2.36,2.58,2024-07-24,2024-07-24,0,0,0
TASK-00113,SEG-010,Delhi,S&T,Cable Inspection,3.17,2.99,2024-06-17,2024-06-17,0,0,0
TASK-00114,SEG-010,Delhi,S&T,Point Machine Service,4.54,6.99,2024-04-27,2024-04-27,0,0,1
TASK-00115,SEG-010,Delhi,S&T,Point Machine Service,3.88,3.12,2025-07-24,2025-07-24,0,0,0
TASK-00116,SEG-010,Delhi,S&T,Cable Inspection,5.87,5.73,2025-01-12,2025-01-12,0,0,0
TASK-00117,SEG-010,Delhi,S&T,Cable Inspection,5.89,5.81,2024-04-20,2024-04-20,0,0,0
TASK-00118,SEG-010,Delhi,S&T,Cable Inspection,2.94,4.62,2025-09-16,2025-09-16,0,0,1
TASK-00119,SEG-010,Delhi,S&T,Point Machine Service,4.15,6.75,2025-10-26,2025-10-26,0,0,1
TASK-00120,SEG-010,Delhi,S&T,Point Machine Service,2.13,1.79,2024-04-28,2024-04-28,0,0,0
TASK-00121,SEG-010,Delhi,S&T,Point Machine Service,6.32,8.76,2025-08-24,2025-08-24,0,0,1
TASK-00122,SEG-010,Delhi,S&T,Point Machine Service,4.15,3.36,2025-09-22,2025-09-22,0,0,0
TASK-00123,SEG-011,Agra,Electrical,Isolator Service,7.06,10.65,2024-08-29,2024-08-29,0,0,1
TASK-00124,SEG-011,Agra,Electrical,Mast Inspection,4.09,5.13,2024-03-03,2024-03-03,0,0,1
TASK-00125,SEG-011,Agra,Electrical,Isolator Service,5.81,5.69,2024-04-03,2024-04-29,1,26,0
TASK-00126,SEG-011,Agra,Electrical,Contact Wire Maintenance,7.93,6.83,2024-09-06,2024-09-06,0,0,0
TASK-00127,SEG-011,Agra,Electrical,OHE Inspection,2.9,2.61,2025-08-23,2025-08-23,0,0,0
TASK-00128,SEG-011,Agra,Electrical,Contact Wire Maintenance,7.08,8.91,2024-10-10,2024-10-10,0,0,1
TASK-00129,SEG-011,Agra,Electrical,Contact Wire Maintenance,5.8,7.0,2024-04-22,2024-04-22,0,0,1
TASK-00130,SEG-011,Agra,Electrical,OHE Inspection,3.6,4.4,2025-08-25,2025-08-25,0,0,1
TASK-00131,SEG-011,Agra,Electrical,Contact Wire Maintenance,4.6,4.39,2024-03-06,2024-03-06,0,0,0
TASK-00132,SEG-011,Agra,Electrical,Mast Inspection,1.78,1.89,2025-09-21,2025-09-21,0,0,0
TASK-00133,SEG-011,Agra,Electrical,OHE Inspection,7.77,11.0,2025-10-20,2025-10-20,0,0,1
TASK-00134,SEG-011,Agra,Electrical,Contact Wire Maintenance,6.13,6.56,2025-05-17,2025-05-17,0,0,0
TASK-00135,SEG-011,Agra,Electrical,Mast Inspection,2.32,2.26,2024-03-08,2024-03-08,0,0,0
TASK-00136,SEG-012,Delhi,Electrical,OHE Inspection,3.42,3.18,2025-06-27,2025-06-27,0,0,0
TASK-00137,SEG-012,Delhi,Electrical,Mast Inspection,5.73,5.82,2025-11-01,2025-11-01,0,0,0
TASK-00138,SEG-012,Delhi,Electrical,Isolator Service,4.19,3.85,2024-08-21,2024-08-21,0,0,0
TASK-00139,SEG-012,Delhi,Electrical,Mast Inspection,3.53,3.83,2025-03-13,2025-03-13,0,0,0
TASK-00140,SEG-012,Delhi,Electrical,Isolator Service,2.09,2.91,2024-03-09,2024-03-09,0,0,1
TASK-00141,SEG-012,Delhi,Electrical,OHE Inspection,5.12,4.96,2024-05-13,2024-05-13,0,0,0
TASK-00142,SEG-012,Delhi,Electrical,OHE Inspection,3.8,3.9,2025-02-24,2025-02-24,0,0,0
TASK-00143,SEG-012,Delhi,Electrical,Mast Inspection,5.4,5.26,2024-10-21,2024-10-21,0,0,0
TASK-00144,SEG-012,Delhi,Electrical,Contact Wire Maintenance,7.01,6.78,2024-08-17,2024-08-26,1,9,0
TASK-00145,SEG-012,Delhi,Electrical,OHE Inspection,6.99,7.31,2025-03-15,2025-03-15,0,0,0
TASK-00146,SEG-012,Delhi,Electrical,Isolator Service,7.54,6.64,2025-09-15,2025-09-15,0,0,0
TASK-00147,SEG-012,Delhi,Electrical,OHE Inspection,3.78,4.78,2024-12-13,2024-12-13,0,0,1
TASK-00148,SEG-012,Delhi,Electrical,Mast Inspection,6.32,5.23,2024-05-25,2024-05-25,0,0,0
TASK-00149,SEG-012,Delhi,Electrical,OHE Inspection,4.45,5.96,2025-03-05,2025-03-05,0,0,1
TASK-00150,SEG-013,Agra,Engineering,Drainage Cleaning,2.52,2.53,2024-06-08,2024-06-08,0,0,0
TASK-00151,SEG-013,Agra,Engineering,Track Inspection,5.45,4.71,2025-05-12,2025-05-12,0,0,0
TASK-00152,SEG-013,Agra,Engineering,Track Inspection,2.22,2.17,2025-03-16,2025-03-16,0,0,0
TASK-00153,SEG-013,Agra,Engineering,Rail Grinding,2.93,2.39,2024-02-16,2024-02-16,0,0,0
TASK-00154,SEG-013,Agra,Engineering,Drainage Cleaning,6.47,5.41,2024-05-20,2024-05-20,0,0,0
TASK-00155,SEG-013,Agra,Engineering,Track Inspection,2.34,2.03,2024-06-28,2024-06-28,0,0,0
TASK-00156,SEG-013,Agra,Engineering,Tamping,4.08,3.8,2024-03-14,2024-03-14,0,0,0
TASK-00157,SEG-013,Agra,Engineering,Tamping,5.24,5.31,2024-11-16,2024-11-16,0,0,0
TASK-00158,SEG-013,Agra,Engineering,Track Inspection,1.64,1.71,2025-02-18,2025-02-18,0,0,0
TASK-00159,SEG-013,Agra,Engineering,Tamping,4.34,6.06,2024-03-31,2024-03-31,0,0,1
TASK-00160,SEG-014,Delhi,Engineering,Tamping,6.35,6.56,2024-11-13,2024-12-04,1,21,0
TASK-00161,SEG-014,Delhi,Engineering,Rail Grinding,4.81,4.35,2025-06-27,2025-06-27,0,0,0
TASK-00162,SEG-014,Delhi,Engineering,Tamping,2.17,1.85,2024-08-29,2024-08-29,0,0,0
TASK-00163,SEG-014,Delhi,Engineering,Drainage Cleaning,7.68,7.21,2024-06-30,2024-06-30,0,0,0
TASK-00164,SEG-014,Delhi,Engineering,Track Inspection,7.51,7.44,2025-11-28,2025-11-28,0,0,0
TASK-00165,SEG-014,Delhi,Engineering,Tamping,4.36,4.31,2024-06-03,2024-06-03,0,0,0
TASK-00166,SEG-014,Delhi,Engineering,Track Inspection,4.8,4.49,2024-12-26,2025-01-22,1,27,0
TASK-00167,SEG-014,Delhi,Engineering,Drainage Cleaning,5.69,4.71,2024-03-19,2024-03-19,0,0,0
TASK-00168,SEG-014,Delhi,Engineering,Rail Grinding,5.27,5.38,2025-04-18,2025-05-18,1,30,0
TASK-00169,SEG-014,Delhi,Engineering,Track Inspection,5.43,5.9,2024-11-25,2024-11-25,0,0,0
TASK-00170,SEG-014,Delhi,Engineering,Drainage Cleaning,4.78,6.27,2024-03-27,2024-03-27,0,0,1
TASK-00171,SEG-014,Delhi,Engineering,Drainage Cleaning,4.9,6.7,2025-06-20,2025-06-20,0,0,1
TASK-00172,SEG-014,Delhi,Engineering,Track Inspection,5.91,8.77,2024-12-12,2024-12-12,0,0,1
TASK-00173,SEG-015,Agra,S&T,Relay Maintenance,5.91,6.01,2025-07-25,2025-07-25,0,0,0
TASK-00174,SEG-015,Agra,S&T,Point Machine Service,2.03,2.18,2024-12-07,2024-12-07,0,0,0
TASK-00175,SEG-015,Agra,S&T,Cable Inspection,5.37,4.79,2024-05-12,2024-05-12,0,0,0
TASK-00176,SEG-015,Agra,S&T,Signal Inspection,5.86,5.99,2024-05-10,2024-05-10,0,0,0
TASK-00177,SEG-015,Agra,S&T,Relay Maintenance,5.86,4.72,2025-10-23,2025-10-23,0,0,0
TASK-00178,SEG-015,Agra,S&T,Signal Inspection,7.66,6.65,2024-12-15,2024-12-15,0,0,0
TASK-00179,SEG-015,Agra,S&T,Signal Inspection,6.99,10.81,2024-10-29,2024-10-29,0,0,1
TASK-00180,SEG-015,Agra,S&T,Relay Maintenance,3.69,3.1,2025-11-08,2025-11-08,0,0,0
TASK-00181,SEG-015,Agra,S&T,Point Machine Service,6.9,7.19,2024-07-04,2024-07-04,0,0,0
TASK-00182,SEG-015,Agra,S&T,Cable Inspection,4.17,3.63,2024-02-14,2024-02-14,0,0,0
TASK-00183,SEG-016,Delhi,S&T,Relay Maintenance,4.97,5.18,2024-08-27,2024-08-27,0,0,0
TASK-00184,SEG-016,Delhi,S&T,Point Machine Service,5.91,5.51,2025-01-11,2025-01-11,0,0,0
TASK-00185,SEG-016,Delhi,S&T,Relay Maintenance,4.93,5.15,2025-05-29,2025-05-29,0,0,0
TASK-00186,SEG-016,Delhi,S&T,Signal Inspection,1.84,1.68,2024-09-13,2024-09-13,0,0,0
TASK-00187,SEG-016,Delhi,S&T,Point Machine Service,2.05,2.87,2024-10-18,2024-10-18,0,0,1
TASK-00188,SEG-016,Delhi,S&T,Signal Inspection,7.65,7.16,2024-04-03,2024-04-03,0,0,0
TASK-00189,SEG-016,Delhi,S&T,Cable Inspection,1.85,1.61,2025-02-28,2025-02-28,0,0,0
TASK-00190,SEG-016,Delhi,S&T,Relay Maintenance,1.68,1.77,2024-08-17,2024-08-17,0,0,0
TASK-00191,SEG-016,Delhi,S&T,Point Machine Service,1.75,1.65,2024-05-20,2024-05-20,0,0,0
TASK-00192,SEG-016,Delhi,S&T,Relay Maintenance,5.5,4.43,2025-04-04,2025-04-04,0,0,0
TASK-00193,SEG-016,Delhi,S&T,Relay Maintenance,7.61,7.05,2025-07-15,2025-07-15,0,0,0
TASK-00194,SEG-016,Delhi,S&T,Signal Inspection,2.29,2.27,2024-11-04,2024-11-04,0,0,0
TASK-00195,SEG-016,Delhi,S&T,Relay Maintenance,6.94,6.67,2024-04-23,2024-04-23,0,0,0
TASK-00196,SEG-017,Agra,Electrical,OHE Inspection,4.29,3.74,2024-10-25,2024-10-25,0,0,0
TASK-00197,SEG-017,Agra,Electrical,OHE Inspection,7.84,11.26,2025-06-20,2025-06-20,0,0,1
TASK-00198,SEG-017,Agra,Electrical,OHE Inspection,7.18,9.87,2025-02-03,2025-02-03,0,0,1
TASK-00199,SEG-017,Agra,Electrical,Isolator Service,6.63,6.76,2024-12-31,2024-12-31,0,0,0
TASK-00200,SEG-017,Agra,Electrical,Mast Inspection,1.79,1.87,2024-05-16,2024-05-16,0,0,0
TASK-00201,SEG-017,Agra,Electrical,Mast Inspection,5.61,4.59,2025-05-05,2025-05-05,0,0,0
TASK-00202,SEG-017,Agra,Electrical,Isolator Service,3.41,4.4,2024-02-07,2024-03-08,1,30,1
TASK-00203,SEG-017,Agra,Electrical,Contact Wire Maintenance,4.09,3.85,2025-06-11,2025-07-02,1,21,0
TASK-00204,SEG-017,Agra,Electrical,OHE Inspection,3.82,4.05,2024-10-19,2024-10-19,0,0,0
TASK-00205,SEG-017,Agra,Electrical,Isolator Service,4.34,4.04,2025-01-11,2025-01-11,0,0,0
TASK-00206,SEG-017,Agra,Electrical,OHE Inspection,4.73,5.1,2024-07-10,2024-07-10,0,0,0
TASK-00207,SEG-018,Delhi,Electrical,OHE Inspection,4.3,3.67,2024-03-21,2024-03-21,0,0,0
TASK-00208,SEG-018,Delhi,Electrical,Contact Wire Maintenance,3.63,3.39,2024-03-22,2024-03-22,0,0,0
TASK-00209,SEG-018,Delhi,Electrical,Mast Inspection,3.79,6.03,2025-03-30,2025-03-30,0,0,1
TASK-00210,SEG-018,Delhi,Electrical,Mast Inspection,5.66,4.63,2024-10-08,2024-10-08,0,0,0
TASK-00211,SEG-018,Delhi,Electrical,Mast Inspection,4.84,4.1,2025-01-07,2025-02-04,1,28,0
TASK-00212,SEG-018,Delhi,Electrical,OHE Inspection,2.32,2.31,2024-02-05,2024-02-05,0,0,0
TASK-00213,SEG-018,Delhi,Electrical,OHE Inspection,2.5,2.28,2025-09-11,2025-09-11,0,0,0
TASK-00214,SEG-018,Delhi,Electrical,OHE Inspection,2.4,2.15,2025-08-10,2025-08-10,0,0,0
TASK-00215,SEG-018,Delhi,Electrical,Isolator Service,6.28,5.75,2024-01-27,2024-01-27,0,0,0
TASK-00216,SEG-018,Delhi,Electrical,Mast Inspection,6.08,5.98,2024-09-23,2024-09-23,0,0,0
TASK-00217,SEG-018,Delhi,Electrical,Mast Inspection,2.3,2.15,2024-07-23,2024-07-23,0,0,0
TASK-00218,SEG-018,Delhi,Electrical,OHE Inspection,6.77,7.42,2024-03-30,2024-03-30,0,0,0
TASK-00219,SEG-018,Delhi,Electrical,Contact Wire Maintenance,5.02,5.3,2025-07-17,2025-07-17,0,0,0
TASK-00220,SEG-019,Agra,Engineering,Drainage Cleaning,2.96,3.07,2025-06-04,2025-06-04,0,0,0
TASK-00221,SEG-019,Agra,Engineering,Rail Grinding,3.85,3.62,2024-01-27,2024-01-27,0,0,0
TASK-00222,SEG-019,Agra,Engineering,Drainage Cleaning,7.25,10.0,2025-09-18,2025-09-18,0,0,1
TASK-00223,SEG-019,Agra,Engineering,Track Inspection,4.17,4.06,2025-06-22,2025-06-22,0,0,0
TASK-00224,SEG-019,Agra,Engineering,Rail Grinding,1.98,1.89,2025-10-19,2025-10-19,0,0,0
TASK-00225,SEG-019,Agra,Engineering,Rail Grinding,4.31,3.52,2024-05-12,2024-05-12,0,0,0
TASK-00226,SEG-019,Agra,Engineering,Track Inspection,2.57,2.6,2024-11-07,2024-11-07,0,0,0
TASK-00227,SEG-019,Agra,Engineering,Track Inspection,3.13,3.02,2024-03-21,2024-03-21,0,0,0
TASK-00228,SEG-019,Agra,Engineering,Rail Grinding,4.97,4.23,2025-09-21,2025-09-21,0,0,0
TASK-00229,SEG-019,Agra,Engineering,Tamping,5.78,5.67,2024-06-24,2024-06-24,0,0,0
TASK-00230,SEG-019,Agra,Engineering,Rail Grinding,2.03,2.09,2024-01-30,2024-01-30,0,0,0
TASK-00231,SEG-019,Agra,Engineering,Track Inspection,4.21,4.0,2025-08-08,2025-08-08,0,0,0
TASK-00232,SEG-020,Delhi,Engineering,Tamping,3.09,2.85,2025-05-09,2025-05-09,0,0,0
TASK-00233,SEG-020,Delhi,Engineering,Track Inspection,4.36,3.75,2024-06-10,2024-06-10,0,0,0
TASK-00234,SEG-020,Delhi,Engineering,Tamping,6.27,6.85,2024-11-22,2024-12-04,1,12,0
TASK-00235,SEG-020,Delhi,Engineering,Track Inspection,3.07,4.31,2024-11-22,2024-11-24,1,2,1
TASK-00236,SEG-020,Delhi,Engineering,Track Inspection,7.12,7.75,2025-01-28,2025-01-28,0,0,0
TASK-00237,SEG-020,Delhi,Engineering,Drainage Cleaning,6.19,7.87,2025-08-14,2025-08-14,0,0,1
